year	LC	NT	VU	EN	CR	EX
0	177	31	45	31	5	0
1	177	30	45	31	5	0
2	178	30	45	31	5	1
3	178	29	44	31	5	1
4	179	29	44	31	5	2
5	179	29	44	31	5	2
6	179	28	43	30	5	2
7	180	28	43	30	5	3
8	180	27	43	30	5	3
9	181	27	43	30	5	3
10	181	27	43	30	5	4
11	181	26	42	30	5	4
12	182	26	42	30	5	5
13	182	26	42	30	5	5
14	183	26	41	29	5	5
15	183	25	41	29	5	6
16	183	25	41	29	5	6
17	184	25	41	29	4	7
18	184	25	41	28	4	7
19	184	25	40	28	4	7
20	185	24	40	28	4	8
21	185	24	40	28	4	8
22	185	24	39	28	4	9
23	186	23	39	28	4	9
24	186	23	39	28	4	10
25	186	23	39	28	4	10
26	186	23	38	27	4	10
27	187	23	38	27	4	11
28	187	22	38	27	4	11
29	187	22	38	27	4	11
30	187	22	37	27	3	11
31	188	22	37	27	3	12
32	188	22	37	27	3	12
33	188	22	36	27	3	12
34	188	22	36	27	3	13
35	188	22	36	27	3	13
36	189	22	36	26	3	13
37	189	21	36	26	3	14
38	189	21	36	26	3	14
39	189	21	35	26	3	14
40	189	21	35	26	3	15
41	190	20	34	26	3	15
42	190	20	34	26	3	15
43	190	20	34	26	3	16
44	190	20	34	26	3	16
45	191	20	33	26	3	17
46	191	20	33	25	3	17
47	191	19	33	25	3	17
48	191	20	33	25	3	18
49	192	19	32	25	3	18
50	192	19	32	24	3	19
