Acinonyx jubatus		12.09						16.1					45.09																																														22.17																					44.87		14.04		7.28														26.35		
Ailuropoda melanoleuca	34.82																										38.86																		42.54																				3.21				36.37																					20.31										
Ailurus fulgens				33.74	20.43	34.82	12.73					33.8			20.8				20.82		27.35			11.74													23.78		16.66													20.98	12.29				12.45	22.52	19.78	25.6		1.85						23.93	19.78		44.32	3.69	10.27							16.67		7.27					0.92		17.43			21.78				1.14			15.67	
Aonyx capensis																																																																																																				
Aonyx cinereus													19.84									13.55														41.45					31.83	42.67						41.43											35.91													16.29	14.24	23.55						35.91																			22.92	
Aonyx congicus																																																	18.11										0.49																																			32.69						
Arctictis binturong					21.62												19.34	46.75				12.73																										35.32	30.69													46.77						34.0																						35.65										
Arctocephalus australis																			40.48								15.81																		46.09								41.69						34.18							34.87											5.05											21.38												
Arctocephalus forsteri																																																																																																				
Arctocephalus galapagoensis					47.84	10.21											14.93			18.77				12.24	7.72				47.43	25.42	47.83	15.56			0.61		4.46			1.61		11.63				27.16													9.39					30.95			3.93		26.51				42.49		22.65						39.73				3.77			49.54			6.03		16.38							
Arctocephalus gazella																																																																																																				
Arctocephalus philippii																																																																																																				
Arctocephalus pusillus																																																																																																				
Arctocephalus townsendi																																																																																																				
Arctocephalus tropicalis																																																																																																				
Arctogalidia trivirgata																																																																																																		41.92		
Arctonyx albogularis																																																																																																				
Arctonyx collaris																							31.74					38.36										19.43				22.36	28.06										26.78														39.6										33.41									34.79					6.95					14.63				
Arctonyx hoevenii																																																																																																				
Atelocynus microtis															17.16														10.24													15.71															38.23														31.2					29.25											34.5													
Atilax paludinosus																																															41.09																																																					
Bassaricyon alleni																																																																																																				
Bassaricyon gabbii																																														35.58																																						25.74																
Bassaricyon medius																																																																																																				
Bassaricyon neblina																																																					45.47											45.88																																			30.68	
Bassariscus astutus																																																																																																				
Bassariscus sumichrasti																				25.44																																																				39.58																												
Bdeogale crassicauda																																																																																																				
Bdeogale jacksoni								49.24															15.99																	20.37																											42.36																																	
Bdeogale nigripes																																																																																																				
Bdeogale omnivora	20.92								29.89	6.61																																40.47														27.01						37.37			4.12				39.13																										32.02				20.52	
Callorhinus ursinus																																																									46.13				20.03																											49.24										29.53		
Canis adustus																																				47.76																																																																
Canis aureus																																																																																																				
Canis latrans																																																																															14.48																					
Canis lupus																																											46.68																																													6.0												
Canis mesomelas																																																																									33.61		28.39																									
Canis rufus	43.76	15.12	5.92	0.22	1.51		37.9			12.31		13.85	28.11	47.68	27.62	37.96	4.76	2.68	34.21		48.83	6.61	42.02	13.36		11.08	44.13	4.76	15.02	45.88	22.81	18.12	5.61	4.43	11.54		17.27		0.08	12.2	20.81	12.9	22.74	1.46	4.97		2.55	13.75		20.66		3.35	8.77	8.07		31.25	9.9			0.53	8.46		1.41		6.65	1.1		7.87		20.61	23.64		17.21	24.53			10.62	49.43		0.84	0.67	11.96	7.13	21.45		12.62		3.23	0.13	18.09	39.99		23.2	0.91	19.69	13.86	21.09	46.72	11.16	20.28
Canis simensis		19.37	30.44			1.75				13.54				8.08		31.88	39.25	31.07	23.24			37.01		38.03													24.12				13.01															7.25	33.4	41.25													19.51		39.97						35.0				26.11													14.66				7.16
Caracal aurata						35.88																										41.54																					9.7																				21.47		29.34													45.36	42.05								33.87			
Caracal caracal																																																																																																				
Catopuma badia		24.09				43.14			12.26			43.04			27.39		45.66	38.21	34.27		12.44				25.19							21.86													9.5		36.85						1.03			20.05	5.38		30.79		36.35		7.26								5.37						44.37	22.86				27.18		3.23											18.26				10.69	1.44
Catopuma temminckii						32.01							38.53																																									42.46																																				22.56										
Cerdocyon thous																																											40.2							14.81																	42.94																																	
Chrotogale owstoni				13.91									22.29							46.28	20.27	37.83		19.98						0.18							26.14					41.27			5.7						11.3							4.62			16.1		12.09		42.66		3.14		26.42		40.38	45.56		47.97	37.76				45.64	14.4				20.91	4.9			31.18		30.91	34.43	25.72								
