status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00138640	0.00094324	0.00115956	0.00152663	0.00134988	0.00149347	0.00122049	0.00107469	0.00103867	0.00102660	0.00123843	0.00095713	0.00110605	0.00117448	0.00099886	0.00109004	0.00103291	0.00103809	0.00111105	0.00126775	0.00111434	0.00110033	0.00121131	0.00097525	0.00122953	0.00119788	0.00126968	0.00129619	0.00114376	0.00117597	0.00110045	0.00111256	0.00091162	0.00134503	0.00135274	0.00129256	0.00118041	0.00130870	0.00099930	0.00119686	0.00085734	0.00166505	0.00116586	0.00118717	0.00094172	0.00125811	0.00087394	0.00130925	0.00118387	0.00120287	0.00108400	0.00137666	0.00124843	0.00110216	0.00096270	0.00134384	0.00135212	0.00115160	0.00132263	0.00076744	0.00128729	0.00110135	0.00085598	0.00110233	0.00100224	0.00094247	0.00105190	0.00098582	0.00108484	0.00121899	0.00114816	0.00111746	0.00109356	0.00136957	0.00105756	0.00130974	0.00120600	0.00118639	0.00138763	0.00115121	0.00131335	0.00115305	0.00099875	0.00122671	0.00106416	0.00102896	0.00085461	0.00126793	0.00121072	0.00135082	0.00119105	0.00111081	0.00116708	0.00108310	0.00112145	0.00119060	0.00106898	0.00131443	0.00128464	0.00133304
LC->VU	0.00061272	0.00098173	0.00068319	0.00073618	0.00081641	0.00067813	0.00108394	0.00108852	0.00084506	0.00080288	0.00087896	0.00077820	0.00083660	0.00091385	0.00065307	0.00058526	0.00061320	0.00060898	0.00058810	0.00081500	0.00063719	0.00080624	0.00074282	0.00065893	0.00094828	0.00091368	0.00062818	0.00110719	0.00073403	0.00052678	0.00064405	0.00074378	0.00058059	0.00080341	0.00061989	0.00081788	0.00079271	0.00058515	0.00085211	0.00104060	0.00082012	0.00071354	0.00103212	0.00077244	0.00074255	0.00070976	0.00063889	0.00066657	0.00092201	0.00079489	0.00065848	0.00067770	0.00069045	0.00068851	0.00063491	0.00068255	0.00071973	0.00069377	0.00063635	0.00056404	0.00070114	0.00079223	0.00105008	0.00070579	0.00060890	0.00066818	0.00063655	0.00076510	0.00080056	0.00059022	0.00074051	0.00044739	0.00086874	0.00070577	0.00065221	0.00075829	0.00055454	0.00074330	0.00079754	0.00077642	0.00063962	0.00062571	0.00087286	0.00068140	0.00061875	0.00075921	0.00057121	0.00056863	0.00071120	0.00085510	0.00058299	0.00065427	0.00081909	0.00102221	0.00108683	0.00069335	0.00104779	0.00105649	0.00077976	0.00089961
LC->EN	0.00021193	0.00013725	0.00020359	0.00025760	0.00016036	0.00005707	0.00011242	0.00012033	0.00021066	0.00024257	0.00009220	0.00013363	0.00017943	0.00028217	0.00016210	0.00016459	0.00018116	0.00006423	0.00019080	0.00008855	0.00017899	0.00022008	0.00025023	0.00013848	0.00016256	0.00013716	0.00017997	0.00013639	0.00013251	0.00016801	0.00015234	0.00022761	0.00005767	0.00017843	0.00016087	0.00016083	0.00015103	0.00022230	0.00018229	0.00019949	0.00017529	0.00016931	0.00010199	0.00020440	0.00015101	0.00053324	0.00016277	0.00018316	0.00020699	0.00024348	0.00016490	0.00019116	0.00011469	0.00010943	0.00014547	0.00014961	0.00019106	0.00013096	0.00018253	0.00023308	0.00014212	0.00014284	0.00018252	0.00017246	0.00014117	0.00009964	0.00014878	0.00021858	0.00008835	0.00023010	0.00023060	0.00015196	0.00016516	0.00016289	0.00016236	0.00026360	0.00021877	0.00028025	0.00007924	0.00021091	0.00017511	0.00013544	0.00008875	0.00029740	0.00022294	0.00017227	0.00018925	0.00013749	0.00024084	0.00012014	0.00020712	0.00015546	0.00019815	0.00012968	0.00010947	0.00007379	0.00007841	0.00019308	0.00016457	0.00010274
LC->CR	0.00010852	0.00015320	0.00010479	0.00006922	0.00007871	0.00005103	0.00017872	0.00020196	0.00002975	0.00007996	0.00015010	0.00018694	0.00016529	0.00004155	0.00013197	0.00010125	0.00007360	0.00017151	0.00008987	0.00004057	0.00005565	0.00009044	0.00006130	0.00007826	0.00011504	0.00013889	0.00017458	0.00002948	0.00008995	0.00006470	0.00011125	0.00005199	0.00004878	0.00007579	0.00007705	0.00011477	0.00004515	0.00002958	0.00010848	0.00017704	0.00011894	0.00005782	0.00005521	0.00008244	0.00008245	0.00002411	0.00017790	0.00006513	0.00016050	0.00004711	0.00013420	0.00004344	0.00005008	0.00004500	0.00002877	0.00003813	0.00011691	0.00010148	0.00004553	0.00006840	0.00008121	0.00002921	0.00001915	0.00007258	0.00003695	0.00007374	0.00027078	0.00004248	0.00010713	0.00002708	0.00006935	0.00021047	0.00008460	0.00002598	0.00006613	0.00005436	0.00015505	0.00012450	0.00003209	0.00006124	0.00003295	0.00006188	0.00007403	0.00012913	0.00013129	0.00003167	0.00003434	0.00003745	0.00016969	0.00004735	0.00011168	0.00010113	0.00017988	0.00010780	0.00003753	0.00004840	0.00005930	0.00006577	0.00006172	0.00006326
LC->DD	0.00059308	0.00052935	0.00045756	0.00067210	0.00045917	0.00054353	0.00047256	0.00043979	0.00058036	0.00063792	0.00062810	0.00031537	0.00061059	0.00057569	0.00052915	0.00064643	0.00051699	0.00049754	0.00049506	0.00066444	0.00046116	0.00052131	0.00046876	0.00086720	0.00051726	0.00039988	0.00048986	0.00058596	0.00069538	0.00052344	0.00059791	0.00045460	0.00064846	0.00059410	0.00050155	0.00060894	0.00042220	0.00043043	0.00050671	0.00066993	0.00050684	0.00057827	0.00084668	0.00069956	0.00079191	0.00062300	0.00072082	0.00070582	0.00059220	0.00074108	0.00038257	0.00049493	0.00050101	0.00080790	0.00069647	0.00072868	0.00055610	0.00078073	0.00070533	0.00036188	0.00057330	0.00047218	0.00083334	0.00072865	0.00041976	0.00050061	0.00067418	0.00066767	0.00057755	0.00067806	0.00050855	0.00067504	0.00047807	0.00057207	0.00040933	0.00043947	0.00066924	0.00055095	0.00050722	0.00075837	0.00052385	0.00057733	0.00058447	0.00067912	0.00057686	0.00060979	0.00045125	0.00055891	0.00055678	0.00057895	0.00038437	0.00054048	0.00056924	0.00057126	0.00053970	0.00056307	0.00069426	0.00053290	0.00058705	0.00064426
NT->LC	0.01995959	0.01995429	0.01892828	0.01813824	0.01945295	0.01867825	0.01924363	0.01949326	0.01811374	0.02013083	0.01898495	0.01903864	0.01946593	0.01914079	0.01908741	0.02084134	0.01721687	0.01844183	0.02131092	0.01733185	0.01916519	0.01597609	0.01831842	0.01905875	0.01835509	0.01644875	0.01576476	0.01994651	0.01840975	0.01855869	0.02047921	0.01899686	0.02250081	0.01933547	0.01855832	0.02259436	0.01944728	0.01765567	0.01800068	0.01961725	0.02255595	0.01714921	0.01746526	0.02021556	0.02078679	0.01785589	0.02108106	0.01465704	0.01560508	0.01770605	0.02186904	0.02036183	0.02063655	0.01826069	0.01761418	0.02044966	0.01822918	0.02145377	0.01851878	0.02033027	0.01954665	0.02027199	0.02391023	0.01646707	0.01880411	0.01883596	0.01904118	0.01787523	0.01800981	0.02225915	0.01719655	0.01771401	0.01951354	0.01430498	0.02361510	0.01771260	0.01861538	0.02039690	0.01982419	0.01871001	0.01482055	0.01790601	0.01799635	0.01799201	0.01884348	0.02081077	0.01724314	0.02148402	0.01827172	0.01565487	0.01709675	0.01910615	0.01772577	0.01748492	0.01868799	0.01786094	0.02050985	0.01993249	0.01523675	0.01749769
NT->VU	0.00896385	0.01103885	0.01126122	0.00973125	0.01228411	0.00987669	0.00953185	0.01033045	0.01001155	0.00960332	0.00866792	0.01116042	0.00814656	0.01064194	0.00853263	0.00760964	0.00909127	0.00820810	0.01036581	0.00779199	0.01130804	0.00960191	0.00758239	0.01071738	0.00901541	0.00937310	0.00766954	0.00843286	0.00842176	0.01079452	0.01130814	0.00660208	0.00862402	0.00936371	0.00777684	0.01417048	0.00841154	0.00841453	0.00835871	0.01010643	0.01229902	0.00727672	0.00664034	0.01171951	0.00791552	0.00699549	0.01095901	0.00974225	0.00726500	0.00752630	0.00832763	0.01186880	0.01090834	0.00931831	0.00826505	0.00802230	0.00979395	0.00893284	0.01088760	0.00797206	0.00973310	0.00788866	0.00810022	0.00909527	0.00991582	0.00935445	0.00918048	0.00703056	0.00812846	0.00687967	0.00902132	0.01063597	0.01024323	0.00979169	0.00925250	0.00698173	0.00841705	0.01115704	0.01204844	0.00944828	0.00951481	0.00936031	0.00984905	0.00988546	0.01090473	0.00742166	0.00874397	0.01060624	0.00911614	0.00893067	0.00930305	0.01140675	0.00965792	0.00785962	0.01102267	0.00763875	0.00807806	0.00888023	0.01080111	0.01061819
NT->EN	0.00299858	0.00436093	0.00313117	0.00351503	0.00392319	0.00317715	0.00228342	0.00201899	0.00462015	0.00350013	0.00446843	0.00319934	0.00361090	0.00174600	0.00291840	0.00259909	0.00269859	0.00336950	0.00463582	0.00275626	0.00244465	0.00405242	0.00232961	0.00405293	0.00486363	0.00434791	0.00207525	0.00319890	0.00280639	0.00251694	0.00395340	0.00283385	0.00382452	0.00464254	0.00294066	0.00211387	0.00228583	0.00160450	0.00180849	0.00450269	0.00218964	0.00214106	0.00239160	0.00425689	0.00359074	0.00272488	0.00286266	0.00349276	0.00299221	0.00279407	0.00286931	0.00209617	0.00257268	0.00302245	0.00276180	0.00328474	0.00457712	0.00372079	0.00243772	0.00176268	0.00308066	0.00183060	0.00260237	0.00278950	0.00356588	0.00150360	0.00311535	0.00324798	0.00272293	0.00240418	0.00241648	0.00325435	0.00256675	0.00303136	0.00353518	0.00438668	0.00278283	0.00336572	0.00283926	0.00237427	0.00226407	0.00202823	0.00219167	0.00238638	0.00337693	0.00273681	0.00346684	0.00276319	0.00233606	0.00274890	0.00347610	0.00165402	0.00296716	0.00300530	0.00418597	0.00353761	0.00226789	0.00356241	0.00390706	0.00236423
NT->CR	0.00081697	0.00094724	0.00100761	0.00032330	0.00135137	0.00045173	0.00061638	0.00078458	0.00096119	0.00060669	0.00102225	0.00058875	0.00113772	0.00036273	0.00226460	0.00115374	0.00051702	0.00053597	0.00091775	0.00100442	0.00120207	0.00041202	0.00042045	0.00094342	0.00072579	0.00068195	0.00035884	0.00088033	0.00100131	0.00134399	0.00140290	0.00101652	0.00061267	0.00065934	0.00105091	0.00077423	0.00108070	0.00077227	0.00140485	0.00124602	0.00062374	0.00052287	0.00049619	0.00050332	0.00089134	0.00084899	0.00145363	0.00091415	0.00079351	0.00094836	0.00130668	0.00075745	0.00091310	0.00023255	0.00083636	0.00043524	0.00054092	0.00063272	0.00058207	0.00152880	0.00055143	0.00019749	0.00079905	0.00091781	0.00095121	0.00113988	0.00063344	0.00043123	0.00074378	0.00037553	0.00107721	0.00114294	0.00136991	0.00030729	0.00084167	0.00056086	0.00045568	0.00027753	0.00037420	0.00213012	0.00054476	0.00063039	0.00114243	0.00105838	0.00095721	0.00040721	0.00121703	0.00043202	0.00034198	0.00080476	0.00050256	0.00097485	0.00064190	0.00074278	0.00108350	0.00022509	0.00086907	0.00042590	0.00103840	0.00165746
NT->DD	0.00303190	0.00426406	0.00473670	0.00327295	0.00490339	0.00456827	0.00407964	0.00227882	0.00389031	0.00322665	0.00327186	0.00481492	0.00488080	0.00312278	0.00625339	0.00578932	0.00395324	0.00304171	0.00351192	0.00295297	0.00383474	0.00360786	0.00522947	0.00448207	0.00430805	0.00430938	0.00224812	0.00368818	0.00374215	0.00407141	0.00419773	0.00465526	0.00482967	0.00448090	0.00541739	0.00355674	0.00408020	0.00478256	0.00496815	0.00578604	0.00501100	0.00336328	0.00373794	0.00259160	0.00386986	0.00443461	0.00401295	0.00447865	0.00452904	0.00354381	0.00501897	0.00433391	0.00409174	0.00471005	0.00574302	0.00379381	0.00357034	0.00260513	0.00499350	0.00302373	0.00426974	0.00282365	0.00372741	0.00287150	0.00277035	0.00483866	0.00543430	0.00389410	0.00364978	0.00481088	0.00310386	0.00499646	0.00507133	0.00476911	0.00529186	0.00403735	0.00421744	0.00607277	0.00320395	0.00508308	0.00469955	0.00287460	0.00389415	0.00271533	0.00312229	0.00329362	0.00345519	0.00599848	0.00435123	0.00347796	0.00389898	0.00343767	0.00424298	0.00335212	0.00517702	0.00390099	0.00208765	0.00380527	0.00286040	0.00478454
